1931  1    0.60   2.29   2.17   0.43   0.00   0.05   0.00   1.13   0.45   0.60   5.19   1.12   0.81   1.08   1.24   3.96   0.96   3.61   2.66   0.30   5.36   8.49   7.65   1.06   3.05   0.44   5.41   5.87   5.42   2.28  11.43
1931  2    0.67   1.93   0.32   0.72   2.74   4.29   0.54   4.40   7.94   2.51  10.18   2.18   0.90   3.50   3.65   4.50   4.22   0.92   2.33   2.91   0.66   0.87   0.26   1.38   3.32   2.11   9.85   4.89 -99.99 -99.99 -99.99
1931  3    1.01   0.18   5.53   1.73   1.38   0.65   0.61   1.41   1.60   1.18   0.46   0.04   1.88   0.34   0.02   0.00   0.00   0.41   0.94   2.31   0.56   1.30   0.07   0.03   0.00   0.00   0.17   0.99   1.48   0.38   0.94
1931  4    5.00  14.67   2.78   3.06   2.49   2.08   0.12   2.34   1.81   0.00   0.40   0.26   0.10   0.10   3.38   5.27   7.09   5.11   5.12   1.25   0.40   1.53   4.17   8.56  10.72   6.24   1.95   2.32   0.61   0.46 -99.99
1931  5    0.26   2.69   3.91   0.87   1.47   0.74   2.78   0.60   0.46   2.33   0.27   0.04   1.72   1.78   3.40   6.69   5.55   0.53   0.07   0.00   9.33   1.97  10.32   7.57   0.94   0.15  13.62   6.03   3.88   3.55   2.81
1931  6    1.93   6.22   0.69   1.03  20.53   6.43   5.48   5.51   4.21   3.28   1.74   0.16   0.67  10.68   0.79   9.28   1.26   5.55   5.69   0.22   0.25   0.41   3.62   0.92   0.00   0.00   0.16   0.08   0.00   0.16 -99.99
1931  7    0.45   0.23   2.65   5.74   2.31   4.37   3.80   3.75   1.73   0.98   4.20   7.19   3.70  14.65   4.19   0.96   6.42   3.47   3.12   1.23   0.25   0.83   1.62   6.43   9.33   6.03   4.01   0.57   5.73   0.60   1.16
1931  8    0.30   0.54   1.60   7.76   5.49   1.22  11.74  10.13   2.59   2.97   0.25   1.40   4.24  14.53   6.38   9.61   3.38  11.19  10.17   8.94   1.77   0.27   0.75   2.62   0.00   0.00   0.00   0.30   0.75   0.55   0.00
1931  9    9.11  15.22  19.92  12.21   2.20   1.00   0.17   0.18   0.42   1.45   3.85   5.16   0.03   0.58   0.42   4.12   1.29   0.18   1.23   0.17   0.26   0.57   0.78   0.38   0.17   0.07   0.00   0.26   0.18   1.00 -99.99
1931 10    1.63   1.07   0.67   0.92   0.11   8.39   2.16   0.73   2.03   0.04   0.16   1.77   0.17   0.00   0.00   0.03   0.22   0.11   0.48   0.09   0.04   0.00   0.61   0.89   0.02   0.00   2.58   0.64   8.14   0.22   0.42
